timestamp,count,title,deadline
2025-02-09 18:27:13,132,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-03-01 14:37:50,722,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-03-04 04:21:34,2719,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-03-04 09:01:27,2913,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-03-05 20:01:12,4019,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-03-07 09:38:38,4433,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-03-11 07:41:09,4899,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-03-18 14:54:04,5775,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-03-21 02:08:30,5929,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-03-26 00:43:29,6549,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-03-30 01:07:18,6802,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-04-01 12:14:28,6907,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-04-08 19:06:05,7130,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-04-08 19:21:01,7132,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-04-16 18:50:35,24751,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-04-17 17:16:27,24751,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-04-18 19:35:20,44988,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-04-19 04:39:54,48383,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-04-19 21:07:47,57453,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
2025-04-20 14:03:27,60788,Legally enshrine the right of adults to physically transition using NHS services,2025-07-28
